"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
chr6:27559448-<b>G</b>,"2 x 10-34",,NR,2.277,'-,[1.996-2.597],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:27457865-<b>C</b>,"2 x 10-32",,NR,2.29,'-,[1.997-2.626],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:27281907-<b>A</b>,"7 x 10-33",,NR,2.299,'-,[2.006-2.636],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:27911422-<b>A</b>,"2 x 10-35",,NR,2.314,'-,[2.028-2.641],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:28107123-<b>T</b>,"5 x 10-36",,NR,2.338,'-,[2.047-2.67],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:28235278-<b>G</b>,"5 x 10-37",,NR,2.356,'-,[2.065-2.69],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:30018547-<b>A</b>,"3 x 10-42",,NR,2.373,'-,[2.096-2.688],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:29785031-<b>G</b>,"5 x 10-42",,NR,2.378,'-,[2.099-2.694],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:29639324-<b>C</b>,"4 x 10-42",,NR,2.382,'-,[2.102-2.7],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:28594470-<b>T</b>,"7 x 10-39",,NR,2.385,'-,[2.093-2.718],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:33020111-<b>G</b>,"1 x 10-12",,NR,1.912,'-,[1.599-2.286],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:33647094-<b>C</b>,"4 x 10-8",,NR,2.042,'-,[1.581-2.638],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:25864590-<b>T</b>,"2 x 10-22",,NR,2.1,'-,[1.809-2.437],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:26732200-<b>G</b>,"2 x 10-28",,NR,2.11,'-,[1.849-2.408],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:25710343-<b>A</b>,"7 x 10-23",,NR,2.116,'-,[1.823-2.457],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:26073147-<b>A</b>,"9 x 10-24",,NR,2.127,'-,[1.836-2.464],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:26266083-<b>C</b>,"8 x 10-27",,NR,2.158,'-,[1.875-2.484],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr5:81431680-<b>A</b>,"3 x 10-10",,NR,2.185,'-,[1.713-2.788],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:25513951-<b>A</b>,"3 x 10-23",,NR,2.186,'-,[1.873-2.551],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:27700521-<b>C</b>,"4 x 10-33",,NR,2.25,'-,[1.971-2.569],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:26408323-<b>G</b>,"4 x 10-31",,NR,2.262,'-,[1.971-2.597],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:27803328-<b>C</b>,"6 x 10-34",,NR,2.27,'-,[1.989-2.59],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
rs9273368-<b>G</b>,"8 x 10-40",,0.35,2.99,'-,[2.60-3.91],"HLA-DQB1, HLA-DQA1","Latent autoimmune diabetes vs. type 1 diabetes","type 1 diabetes mellitus, latent autoimmune diabetes in adults",'-,GCST007247,6:32658698
rs11725853-<b>A</b>,"8 x 10-7",,0.15,'-,"0.11 unit increase",[0.07-0.16],GLRA3,"Urinary albumin excretion rate in type 1 diabetes","urinary albumin excretion rate, type 1 diabetes mellitus",'-,GCST002382,4:174721548
rs2410601-<b>G</b>,"4 x 10-6",,0.47,'-,"0.08 unit increase",[0.04-0.11],PSD3,"Urinary albumin excretion rate in type 1 diabetes","urinary albumin excretion rate, type 1 diabetes mellitus",'-,GCST002382,8:19065067
rs2523989-<b>A</b>,"2 x 10-8",,NR,1.7499,'-,'-,"TRIM31, TRIM31-AS1","Type 1 diabetes and autoimmune thyroid diseases","autoimmune thyroid disease, type 1 diabetes mellitus",'-,GCST002876,6:30110498
rs886424-<b>A</b>,"3 x 10-14",,NR,2.2107,'-,'-,LINC00243,"Type 1 diabetes and autoimmune thyroid diseases","autoimmune thyroid disease, type 1 diabetes mellitus",'-,GCST002876,6:30814225
rs2251396-<b>T</b>,"1 x 10-22",,NR,2.2132,'-,'-,"MICA, HLA-S","Type 1 diabetes and autoimmune thyroid diseases","autoimmune thyroid disease, type 1 diabetes mellitus",'-,GCST002876,6:31396930
rs2857595-<b>T</b>,"2 x 10-23",,NR,2.3765,'-,'-,"NCR3, UQCRHP1","Type 1 diabetes and autoimmune thyroid diseases","autoimmune thyroid disease, type 1 diabetes mellitus",'-,GCST002876,6:31600692
rs1270942-<b>C</b>,"5 x 10-25",,NR,3.0494,'-,'-,CFB,"Type 1 diabetes and autoimmune thyroid diseases","autoimmune thyroid disease, type 1 diabetes mellitus",'-,GCST002876,6:31951083
rs1980493-<b>G</b>,"2 x 10-20",,NR,2.5034,'-,'-,"TSBP1-AS1, BTNL2","Type 1 diabetes and autoimmune thyroid diseases","autoimmune thyroid disease, type 1 diabetes mellitus",'-,GCST002876,6:32395438
rs1015166-<b>T</b>,"4 x 10-22",,NR,2.1428,'-,'-,TAP2,"Type 1 diabetes and autoimmune thyroid diseases","autoimmune thyroid disease, type 1 diabetes mellitus",'-,GCST002876,6:32830954
rs1004446-<b>C</b>,"4 x 10-9",,0.65,1.61,'-,[1.37-1.89],INS-IGF2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000054,11:2148913
rs2903692-<b>G</b>,"7 x 10-11",,0.62,1.54,'-,[1.32-1.79],CLEC16A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000054,16:11144926
rs2476601-<b>A</b>,"1 x 10-7",,0.09,1.8,'-,[1.44-2.24],PTPN22,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000054,1:113834946
rs2647044-<b>A</b>,"1 x 10-16",,0.13,8.3,'-,[6.97-9.89],"HLA-DQB1, MTCO3P1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000054,6:32700133
rs17696736-<b>G</b>,"2 x 10-16",,0.42,1.22,'-,[1.15-1.28],NAA25,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000038,12:112049014
rs763361-<b>A</b>,"1 x 10-8",,0.47,1.16,'-,[1.10-1.22],CD226,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000038,18:69864406
rs1445898-<b>G</b>,"8 x 10-6",,0.55,1.12,'-,[1.06-1.19],CAPSL,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000038,5:35910427
rs2292239-<b>A</b>,"2 x 10-20",,0.34,1.28,'-,[1.21-1.35],ERBB3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000038,12:56088396
rs12708716-<b>A</b>,"3 x 10-18",,0.68,1.23,'-,[1.16-1.30],CLEC16A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000038,16:11086016
rs2542151-<b>C</b>,"1 x 10-14",,0.16,1.3,'-,[1.22-1.40],"LINC01882, PTPN2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000038,18:12779948
rs2476601-<b>T</b>,"2 x 10-80",,0.09,1.98,'-,[1.82-2.15],PTPN22,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000038,1:113834946
rs6897932-<b>G</b>,"8 x 10-6",,0.71,1.12,'-,[1.06-1.19],IL7R,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000038,5:35874473
rs9653442-<b>G</b>,"5 x 10-6",,0.46,1.11,'-,[1.05-1.17],LINC01104,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000038,2:100208905
rs6679677-<b>A</b>,"8 x 10-24",,0.10,1.89,'-,[1.67-2.13],"RSBN1, PHTF1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000038,1:113761186
rs3741208-<b>T</b>,"2 x 10-7",,0.38,1.25,'-,[1.15-1.35],"INS-IGF2, IGF2-AS","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000038,11:2148544
rs1990760-<b>A</b>,"2 x 10-11",,0.60,1.18,'-,[1.11-1.23],IFIH1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000038,2:162267541
rs1701704-<b>C</b>,"9 x 10-10",,0.35,1.25,'-,[1.12-1.40],IKZF4,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000141,12:56018703
rs3757247-<b>A</b>,"1 x 10-6",,NR,1.13,'-,[1.08-1.19],BACH2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000244,6:90247744
rs8035957-<b>C</b>,"4 x 10-6",,NR,1.14,'-,[1.08-1.21],RASGRP1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000244,15:38546063
rs9976767-<b>C</b>,"2 x 10-8",,NR,1.16,'-,[1.10-1.22],UBASH3A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000244,21:42416281
rs1983853-<b>?</b>,"2 x 10-6",,NR,1.2,'-,[1.11-1.29],LPAR3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000244,1:84845509
rs10758593-<b>A</b>,"3 x 10-6",,NR,1.13,'-,[1.07-1.19],GLIS3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST000244,9:4292083
rs6679677-<b>A</b>,"2 x 10-6","(any IA)",0.114,1.46,'-,'-,"RSBN1, PHTF1","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type 1 diabetes mellitus, autoantibody measurement","carrier status",GCST006197,1:113761186
rs3184504-<b>A</b>,"4 x 10-7","(any IA)",0.462,1.35,'-,'-,"ATXN2, SH2B3","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type 1 diabetes mellitus, autoantibody measurement","carrier status",GCST006197,12:111446804
rs428595-<b>A</b>,"1 x 10-6","(any IA)",0.011,2.47,'-,'-,"PPIL2, MIR130B","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type 1 diabetes mellitus, autoantibody measurement","carrier status",GCST006197,22:21662102
rs6679677-<b>A</b>,"2 x 10-6",(multiple-IA),0.114,1.592,'-,'-,"RSBN1, PHTF1","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type 1 diabetes mellitus, autoantibody measurement","carrier status",GCST006197,1:113761186
rs3842727-<b>A</b>,"1 x 10-7",(multiple-IA),0.716,1.6638935,'-,'-,"INS, TH","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type 1 diabetes mellitus, autoantibody measurement","carrier status",GCST006197,11:2163618
rs11705721-<b>G</b>,"9 x 10-6",(multiple-IA),0.321,1.41,'-,'-,PXK,"Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type 1 diabetes mellitus, autoantibody measurement","carrier status",GCST006197,3:58414687
rs28600853-<b>G</b>,"6 x 10-6",(IAA-first),0.011,3.233,'-,'-,TTC34,"Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type 1 diabetes mellitus, autoantibody measurement","carrier status",GCST006197,1:2863195
rs3842727-<b>A</b>,"6 x 10-6",(IAA-first),0.716,1.7513134,'-,'-,"INS, TH","Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type 1 diabetes mellitus, autoantibody measurement","carrier status",GCST006197,11:2163618
rs9934817-<b>G</b>,"8 x 10-6",(GADA-first),0.019,2.663,'-,'-,RBFOX1,"Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)","event free survival time, type 1 diabetes mellitus, autoantibody measurement","carrier status",GCST006197,16:6086218
rs113935429-<b>A</b>,"1 x 10-8",,NR,'-,"0.1044 unit increase",[0.069-0.14],FTO,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,16:53788258
rs2847278-<b>T</b>,"1 x 10-9",,NR,'-,"0.1554 unit decrease",[0.11-0.21],"PTPN2, LINC01882","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,18:12778716
rs2476601-<b>G</b>,"1 x 10-50",,NR,'-,"0.4287 unit decrease",[0.37-0.48],PTPN22,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,1:113834946
rs7567242-<b>A</b>,"4 x 10-9",,NR,'-,"0.1416 unit increase",[0.094-0.189],"RNA5SP94, MIR4432HG","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,2:60326008
rs9273367-<b>T</b>,"6 x 10-306",,NR,'-,"0.7272 unit increase",[0.69-0.77],"HLA-DQB1, HLA-DQA1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,6:32658661
rs17711850-<b>C</b>,"2 x 10-9",,NR,'-,"0.1236 unit increase",[0.083-0.164],BACH2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,6:90155151
rs3757787-<b>T</b>,"1 x 10-8",,NR,'-,"0.4363 unit increase",[0.29-0.59],"PAX4, SND1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,7:127618330
rs10811662-<b>A</b>,"1 x 10-10",,NR,'-,"0.1412 unit decrease",[0.098-0.184],"DMRTA1, CDKN2B-AS1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,9:22134254
rs706779-<b>C</b>,"3 x 10-8",,NR,'-,"0.0963 unit decrease",[0.062-0.13],IL2RA,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,10:6056861
rs3184504-<b>C</b>,"4 x 10-14",,NR,'-,"0.1433 unit decrease",[0.11-0.18],"ATXN2, SH2B3","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,12:111446804
rs7167984-<b>A</b>,"3 x 10-8",,NR,'-,"0.1262 unit decrease",[0.082-0.171],"RGMA, SEPHS1P2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,15:93288838
rs7903146-<b>T</b>,"1 x 10-14",,NR,'-,"0.1668 unit increase",[0.12-0.21],TCF7L2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,10:112998590
rs3842753-<b>G</b>,"8 x 10-44",,NR,'-,"0.3085 unit increase",[0.26-0.35],"INS, INS-IGF2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,11:2159830
rs10876866-<b>A</b>,"3 x 10-8",,NR,'-,"0.1105 unit increase",[0.071-0.15],"ERBB3, RPS26","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018925,12:56051582
rs705705-<b>C</b>,"4 x 10-32",,0.34,1.25,'-,'-,RPS26,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,12:56041720
rs653178-<b>C</b>,"2 x 10-44",,0.48,1.3,'-,'-,ATXN2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,12:111569952
rs9585056-<b>C</b>,"3 x 10-8",,0.24,1.12,'-,'-,"CCR12P, TM9SF2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,13:99429512
rs1456988-<b>G</b>,"3 x 10-8",,0.27,1.12,'-,'-,LINC01550,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,14:98021670
rs56994090-<b>T</b>,"1 x 10-11",,0.59,1.1363636,'-,'-,MEG3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,14:100840110
rs72727394-<b>T</b>,"4 x 10-10",,0.19,1.15,'-,'-,RASGRP1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,15:38554821
rs34593439-<b>G</b>,"9 x 10-14",,0.9,1.2820514,'-,'-,CTSH,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,15:78942615
rs151234-<b>C</b>,"5 x 10-11",,0.12,1.19,'-,'-,CLN3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,16:28494339
rs12927355-<b>C</b>,"3 x 10-22",,0.68,1.2195122,'-,'-,CLEC16A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,16:11100914
rs193778-<b>G</b>,"4 x 10-10",,0.25,1.14,'-,'-,RMI2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,16:11257354
rs8056814-<b>A</b>,"3 x 10-19",,0.07,1.32,'-,'-,"CTRB1, CTRB2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,16:75218429
rs12453507-<b>G</b>,"1 x 10-8",,0.51,1.1111112,'-,'-,"ZPBP2, GSDMB","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,17:39896954
rs757411-<b>T</b>,"1 x 10-7",,0.64,1.1111112,'-,'-,"SMARCE1, CCR7","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,17:40618898
rs1052553-<b>A</b>,"8 x 10-8",,0.76,1.1235955,'-,'-,MAPT,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,17:45996523
rs1893217-<b>G</b>,"1 x 10-15",,0.16,1.21,'-,'-,PTPN2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,18:12809341
rs12971201-<b>G</b>,"2 x 10-6","(conditioned on rs1893217)",0.61,1.1235955,'-,'-,PTPN2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,18:12830539
rs1615504-<b>T</b>,"2 x 10-11",,0.47,1.13,'-,'-,CD226,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,18:69859408
rs34536443-<b>G</b>,"4 x 10-15",,0.96,1.4925373,'-,'-,TYK2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,19:10352442
rs12720356-<b>A</b>,"4 x 10-7","(conditioned on rs34536443)",0.91,1.2195122,'-,'-,TYK2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,19:10359299
rs402072-<b>T</b>,"5 x 10-8",,0.84,1.1494253,'-,'-,PRKD2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,19:46715865
rs516246-<b>T</b>,"5 x 10-14",,0.51,1.1494253,'-,'-,FUT2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,19:48702915
rs6043409-<b>G</b>,"3 x 10-10",,0.65,1.1363636,'-,'-,"SIRPG-AS1, SIRPG","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,20:1635560
rs11203202-<b>G</b>,"1 x 10-15",,0.33,1.16,'-,'-,UBASH3A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,21:42405248
rs6518350-<b>A</b>,"1 x 10-7",,0.82,1.1363636,'-,'-,GATD3A,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,21:44201934
rs4820830-<b>C</b>,"1 x 10-12",,0.38,1.14,'-,'-,HORMAD2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,22:30135102
rs2476601-<b>A</b>,"1 x 10-100",,0.09,1.89,'-,'-,PTPN22,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,1:113834946
rs6691977-<b>C</b>,"4 x 10-8",,0.19,1.13,'-,'-,CAMSAP2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,1:200845831
rs3024505-<b>G</b>,"6 x 10-8",,0.84,1.1627907,'-,'-,"Y_RNA, IL10","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,1:206766559
rs13415583-<b>T</b>,"1 x 10-7",,0.65,1.1111112,'-,'-,AFF3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,2:100147625
rs4849135-<b>G</b>,"4 x 10-8",,0.71,1.1235955,'-,'-,ACOXL,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,2:110857502
rs2111485-<b>G</b>,"4 x 10-18",,0.61,1.1764705,'-,'-,"FAP, IFIH1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,2:162254026
rs35667974-<b>T</b>,"9 x 10-9","(conditioned on rs2111485)",0.98,1.6949153,'-,'-,IFIH1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,2:162268127
rs72871627-<b>A</b>,"2 x 10-6","(conditioned rs2111485, rs35667974)",0.99,1.6393442,'-,'-,IFIH1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,2:162280432
rs3087243-<b>G</b>,"7 x 10-21",,0.55,1.1904762,'-,'-,"ICOS, CTLA4","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,2:203874196
rs113010081-<b>T</b>,"5 x 10-8",,0.89,1.1764705,'-,'-,"LINC02009, CCRL2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,3:46415921
rs75793288-<b>G</b>,"6 x 10-13",,0.36,1.15,'-,'-,KIAA1109,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,4:122322441
rs2611215-<b>A</b>,"2 x 10-11",,0.15,1.18,'-,'-,LINC01179,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,4:165653115
rs11954020-<b>G</b>,"4 x 10-8",,0.39,1.11,'-,'-,"CAPSL, IL7R","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,5:35883149
rs72928038-<b>A</b>,"6 x 10-14",,0.17,1.2,'-,'-,BACH2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,6:90267049
rs1538171-<b>G</b>,"7 x 10-10",,0.45,1.12,'-,'-,"CENPW, MIR588","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,6:126431738
rs62447205-<b>A</b>,"3 x 10-8",,0.72,1.1235955,'-,'-,IKZF1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,7:50398132
rs10277986-<b>A</b>,"1 x 10-7",,0.96,1.3157895,'-,'-,COBL,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,7:50961290
rs6476839-<b>T</b>,"1 x 10-9",,0.4,1.12,'-,'-,GLIS3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,9:4290823
rs61839660-<b>C</b>,"3 x 10-39",,0.9,1.6129031,'-,'-,IL2RA,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,10:6052734
rs10795791-<b>G</b>,"6 x 10-11","(conditioned rs61839660)",0.41,1.16,'-,'-,"IL2RA, RPL32P23","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,10:6066377
rs41295121-<b>C</b>,"5 x 10-8","(conditioned rs61839660, rs10795791)",0.99,2.0408163,'-,'-,"RBM17, RPL32P23","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,10:6087680
rs12416116-<b>C</b>,"4 x 10-15",,0.72,1.1764705,'-,'-,RNLS,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,10:88275897
rs689-<b>T</b>,"1 x 10-100",,0.7,2.3809524,'-,'-,"INS-IGF2, INS","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,11:2160994
rs72853903-<b>C</b>,"6 x 10-10","(conditioned on rs689)",0.62,1.1764705,'-,'-,"ASCL2, MIR4686","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,11:2177435
rs917911-<b>C</b>,"2 x 10-7",,0.36,1.1,'-,'-,CD69,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,12:9753255
rs229533-<b>C</b>,"2 x 10-8",,0.43,1.11,'-,'-,C1QTNF6,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST005536,22:37191071
rs138748427-<b>A</b>,"3 x 10-9",,0.507810792,'-,"0.29127777 unit increase",[0.2-0.39],"HLA-DRB5, HLA-DRB9","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018705,6:32516743
rs3757787-<b>T</b>,"1 x 10-8",,0.088020982,'-,"0.43625864 unit increase",[0.29-0.59],"PAX4, SND1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018705,7:127618330
rs2237897-<b>T</b>,"2 x 10-8",,0.391598026,'-,"0.24306235 unit decrease",[0.16-0.33],KCNQ1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90018705,11:2837316
rs926169-<b>T</b>,"9 x 10-6",,0.36,1.28,'-,[1.15–1.42],"RNU6-474P, CTLA4","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST009916,2:203858029
rs9273363-<b>A</b>,"5 x 10-138",,0.13,5.48,'-,[4.80–6.27],"HLA-DQA1, HLA-DQB1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST009916,6:32658495
rs1578060-<b>C</b>,"2 x 10-6",,0.13,1.42,'-,[1.23–1.64],"MIR588, CENPW","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST009916,6:126391101
rs10788599-<b>?</b>,"1 x 10-6",,0.83,1.4492754,'-,'-,RNLS,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST009916,10:88428167
rs3842727-<b>T</b>,"1 x 10-13",,0.26,1.53,'-,[1.37–1.72],"INS, TH","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST009916,11:2163618
rs56380902-<b>C</b>,"1 x 10-8",,0.44,1.35,'-,[1.22–1.50],GSDMB,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST009916,17:39910119
rs79538630-<b>T</b>,"1 x 10-9",,0.035,1.213,'-,'-,"CD6, SLC15A3","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,11:60961822
rs34090353-<b>C</b>,"1 x 10-8",,0.361,1.078,'-,'-,RPAP2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,1:92358141
rs645078-<b>C</b>,"3 x 10-9",,0.385,0.925,'-,'-,RPS6KA4,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,11:64367826
rs2229238-<b>C</b>,"1 x 10-12",,0.813,0.896,'-,'-,IL6R,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,1:154465420
rs1805731-<b>C</b>,"4 x 10-8",,0.389,1.073,'-,'-,M6PR,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,12:8942630
rs7313065-<b>A</b>,"3 x 10-9",,0.162,1.101,'-,'-,SPRYD3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,12:53077434
rs74537115-<b>T</b>,"5 x 10-9",,0.141,1.109,'-,'-,LINC02341,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,13:42343795
rs911263-<b>T</b>,"3 x 10-8",,0.71,1.083,'-,'-,RAD51B,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90013445,14:68286876
